manufacturer,model,vehicle_type
bmw,1 series 128i coupe 2d,sport
chrysler,300 limited sedan 4d,sedan
mitsubishi,outlander sport es,sport
nissan,sentra s sedan 4d,sedan
gmc,acadia denali sport utility,sport
gmc,acadia slt sport utility 4d,sport
lincoln,mkz select sedan 4d,sedan
,smart fortwo Passion Hatchback,unknown
jaguar,e-pace p300 r-dynamic se,unknown
subaru,forester,SUV
acura,tlx,unknown
volvo,s60 t5 premier sedan 4d,sedan
volvo,s60 t8 r-design sedan 4d,sedan
alfa-romeo,romeo stelvio sport suv 4d,SUV
audi,q5 45 tfsi premium plus,unknown
toyota,tacoma 4x4,truck
,F-350,unknown
bmw,z4,unknown
ford,f150 lariat supercrew 4x4,truck
volkswagen,jetta sel,sedan
ford,ranger xlt,truck
toyota,tacoma double cab,truck
honda,crv ex,unknown
mazda,mx-5 miata touring,unknown
mazda,mx-5 miata grand touring,unknown
porsche,boxster,unknown
mazda,miata,unknown
lexus,rx350,unknown
lexus,gx470,unknown
toyota,rav4,SUV
ford,thunderbird,unknown
ford,mustang,unknown
nissan,titan single cab sv,unknown
nissan,sentra,unknown
kia,spectra ex,unknown
ford,f150,truck
,lac XT5 Crossover,unknown
dodge,charger limousine,unknown
ford,focus,unknown
ford,windstar,unknown
ford,sport trac,sport
nissan,altima,sedan
nissan,frontier,unknown
buick,enclave,unknown
gmc,sierra 3500,truck
honda,ridgeline,unknown
chevrolet,malibu classic,sedan
toyota,camry,sedan
mercedes-benz,benz,unknown
bmw,5 series,unknown
kia,optima,sedan
chevrolet,silverado 2500,truck
buick,lacrosse,sport
toyota,echo,unknown
hyundai,elantra,unknown
chevrolet,blazer,unknown
nissan,versa,unknown
bmw,525i,unknown
,Sterling Acterra,unknown
gmc,yukon xl,SUV
ford,c-max hybrid se wagon 4d,unknown
honda,accord,sedan
chevrolet,silverado 1500 ltz crew cab 4wd,truck
chevrolet,silverado 1500 lt crew cab 4wd,truck
chevrolet,silverado 1500 2lt crew cab long box 4wd,truck
ford,f-150,truck
ford,f750,unknown
gmc,canyon extended cab pickup,truck
mercedes-benz,ml350,unknown
chrysler,300m,unknown
ford,f100,unknown
ford,escape,SUV
chevrolet,malibu,sedan
infiniti,g35 sedan,sedan
chevrolet,monte carlo,unknown
,Freightliner Cascadia,unknown
,Maserati Levante,unknown
chevrolet,silverado 2500hd 4x4,truck
mercedes-benz,1929 ssk replica,sport
chevrolet,tahoe,SUV
toyota,corolla,sedan
kia,soul,unknown
nissan,kicks,unknown
chevrolet,corvette convertible,sport
kia,sorento,unknown
nissan,pathfinder,unknown
,SPECIAL FINANCE PROGRAM 2020,unknown
volkswagen,passat tdi,sedan
porsche,cayman,unknown
mercedes-benz,s-class,sport
mercedes-benz,clk320,unknown
chevrolet,silverado,truck
cadillac,srx,unknown
ford,taurus,unknown
,1987 Saab 900 Turbo,unknown
,Suzuki XL-7,unknown
bmw,x3,unknown
honda,accord ex-l,sedan
mazda,miata mx-5,unknown
cadillac,sts,unknown
chevrolet,corvette,unknown
chevrolet,bel air,unknown
acura,tl,unknown
nissan,murano,unknown
ram,2500,truck
jeep,wrangler sport s utility 2d,SUV
toyota,avalon,unknown
honda,odyssey ex,sport
chevrolet,,unknown
buick,lesabre,unknown
ford,edge,unknown
ford,f-350,truck
ram,1500,truck
gmc,terrain,unknown
ford,f250 xl,truck
chevrolet,captiva sport,sport
kia,forte koup ex coupe 2d,sport
chevrolet,cobalt,unknown
dodge,grand caravan,unknown
mercedes-benz,m-class,sport
nissan,rogue sport,sport
infiniti,qx30,unknown
subaru,legacy 2.5i premium sedan,sedan
mercedes-benz,cls,unknown
mercedes-benz,e-class,sport
jeep,grand cherokee,SUV
rover,,unknown
chevrolet,cavalier,unknown
ford,expedition el,unknown
volvo,s60,unknown
toyota,4runner limited,unknown
chevrolet,traverse,unknown
dodge,charger,unknown
ford,mustang gt premium coupe 2d,sport
honda,pilot lx sport utility 4d,SUV
buick,regal sportback preferred,sport
hyundai,sonata plug-in hybrid,sedan
hyundai,elantra touring,unknown
kia,forte,unknown
infiniti,jx35,unknown
ram,3500,truck
gmc,yukon xl denali,SUV
kia,sportage,sport
toyota,tundra,truck
hyundai,accent,unknown
chrysler,300,unknown
chevrolet,impala,sedan
nissan,altima 3.5 sl,sedan
ferrari,360 modena,unknown
mini,cooper,unknown
toyota,4runner,unknown
toyota,4runner sport edition,sport
,Series,unknown
ford,crown vic,unknown
pontiac,grand prix,unknown
acura,mdx,unknown
mercedes-benz,benz c350,unknown
dodge,durango,unknown
chevrolet,silverado 2500 z71 4x4,truck
ram,3500 laramie 4x4,truck
audi,q7,unknown
chevrolet,trax,unknown
chevrolet,hhr,unknown
mitsubishi,eclipse,unknown
honda,accord sedan,sedan
toyota,prius,unknown
,scion ia,unknown
nissan,370z nismo coupe 2d,sport
infiniti,q50,unknown
bmw,x6,unknown
chevrolet,s10 pickup,truck
toyota,venza,unknown
dodge,challenger r/t scat pack,unknown
ram,1500 quad cab big horn,truck
ford,f-250 super duty,truck
volkswagen,passat tdi sel,sedan
ford,explorer xlt,SUV
volkswagen,jetta tdi,sedan
jeep,wrangler unlimited,SUV
toyota,4runner sr5 sport utility,sport
nissan,frontier king cab sv,unknown
subaru,xv crosstrek premium,sport
buick,regal premium ii sedan 4d,sedan
toyota,camry l sedan 4d,sedan
toyota,solara,unknown
lincoln,,unknown
infiniti,ex35,unknown
toyota,prius v hybrid,unknown
nissan,rogue sv,unknown
jeep,liberty,unknown
chevrolet,trailblazer,unknown
ram,promaster 1500 cargo van,truck
volkswagen,jetta,sedan
subaru,baja,unknown
nissan,titan xd,unknown
chevrolet,silverado 2500hd,truck
mercedes-benz,c-class,sport
ford,bronco ii,unknown
,1988,unknown
chevrolet,silverado 2500 hd ltz,truck
kia,sorento lx,unknown
ford,f150 regular cab xl,truck
toyota,fj cruiser 4x4,unknown
mercedes-benz,benz ml 450,unknown
gmc,1500 yukon slt,truck
ford,explorer sport trac,SUV
,plymouth voyager,unknown
pontiac,firebird,unknown
ford,,unknown
ford,fiesta se,unknown
pontiac,grand am gt 1,sport
nissan,titan xd cummins platinum,unknown
chevrolet,corvette stingray spor,unknown
pontiac,firebird trans am ws6,unknown
dodge,viper rt 10 removable top,unknown
gmc,denali,unknown
,oldsmobile cutlass,unknown
toyota,tundra double cab,truck
acura,tsx,unknown
,INTERNATIONAL 4700 DUMP,unknown
ford,f250 service,truck
toyota,corolla le,sedan
gmc,sierra 1500,truck
gmc,sierra 2500hd denali,truck
lincoln,mkz,unknown
ford,f-250 super duty xl,truck
bmw,328i,unknown
bmw,x5,SUV
honda,crv ex-l,unknown
chevrolet,camaro,unknown
honda,cr v,unknown
honda,cr-v ex-l,SUV
chevrolet,sonic,unknown
,smart fortwo,unknown
infiniti,qx4,unknown
lexus,ct200h hybrid,unknown
lexus,rx,unknown
ford,f150 xl,truck
ford,f250 super duty 4x4,truck
ford,f350 super duty,truck
gmc,sierra 2500hd,truck
ford,f250 sd xlt,truck
chevrolet,express 3500,truck
jeep,grand cherokee laredo sport,SUV
chrysler,200,unknown
nissan,nv2500 hd cargo,truck
ford,f250 xl super duty,truck
ford,econoline commercial,unknown
nissan,nv200,unknown
ford,freestar ses,unknown
chevrolet,silverado 3500hd,truck
chevrolet,tahoe lt sport utility,SUV
ford,e350 van,unknown
ford,crown victoria,unknown
jaguar,xj,unknown
honda,civic del sol si,sedan
jeep,wrangler,SUV
toyota,highlander,SUV
ram,3500 big horn,truck
ford,escape hev,SUV
honda,accord crosstour exl,sedan
fiat,500l lounge,unknown
ford,f250 lariat,truck
ford,f-250,truck
ford,f250,truck
ford,transit t250,unknown
gmc,1500 yukon denali xl,truck
infiniti,fx35,unknown
kia,forte ex,unknown
ram,2500 4x4,truck
ford,f550,unknown
dodge,challenger rt plus,unknown
gmc,sierra 2500 hd double cab,truck
kia,rio,unknown
ram,1500 express,truck
,r XF,unknown
mazda,cx-5,unknown
buick,verano,unknown
acura,rl,unknown
honda,civic ex,sedan
,2002 limited 4 runner,unknown
mercedes-benz,glk,unknown
hyundai,sonata,sedan
cadillac,escalade,unknown
rover,lr4 hse,unknown
chevrolet,colorado,truck
lexus,sc430,unknown
,LBZ Duramax,unknown
lincoln,town car,unknown
honda,element ex,unknown
jeep,cherokee sport,SUV
ram,2500 mega cab 4x4,truck
ram,2500 slt 4x4,truck
ford,edge sel,unknown
audi,a3 tdi premium plus,unknown
chevrolet,silverado 3500 ltz 4x4,truck
ford,f150 lariat fx4 4x4,truck
chevrolet,silverado 2500 hd 4x4,truck
ram,3500 slt,truck
ford,f150 4x4 xlt,truck
ram,1500laramie 4x4,truck
honda,accord coupe,sedan
,2002   Corvette Convertible,unknown
chevrolet,silverado z71 4x4,truck
chevrolet,silverado z71 4x4 lt,truck
toyota,4runner sr5premium 4x4,unknown
gmc,sierra 1500 double cab sle,truck
nissan,maxima,unknown
,Genesis G80,unknown
ford,fusion,sedan
jeep,patriot,unknown
nissan,xterra,unknown
nissan,titan,unknown
chevrolet,hhr lt,unknown
audi,a4 ultra premium sedan 4d,sedan
chevrolet,ss sedan,sedan
hyundai,entourage,unknown
gmc,sierra,truck
mazda,sx4 se,unknown
infiniti,q60,unknown
hyundai,veloster,unknown
hyundai,ioniq hybrid,unknown
,ai Santa Fe,unknown
chevrolet,suburban,SUV
toyota,camry xle,sedan
mini,cooper hardtop 2 door,unknown
ford,mustang gt coupe 2d,sport
,FordE450,unknown
chrysler,pt cruiser,unknown
lexus,es 330,unknown
chevrolet,suburban z71,SUV
ford,freestyle,unknown
ram,1500 crew cab big horn,truck
,des-Benz CLA,unknown
ford,super duty f-250 srw,truck
rover,sport,sport
,HUMMER H2,unknown
infiniti,m35,unknown
jeep,gladiator,unknown
lexus,is,unknown
ford,ranger,truck
,a Camry,unknown
jeep,cj7,unknown
lexus,lx 470,unknown
ford,transit,unknown
chevrolet,express,sport
gmc,savana,unknown
ford,transit connect,unknown
ford,transit 150,unknown
infiniti,qx 50 luxe,unknown
mercedes-benz,benz c300,unknown
hyundai,sonata gls,sedan
gmc,yukon denali 4x4,SUV
ford,e350,unknown
honda,crosstour ex-l,sport
chevrolet,silverado 2500 lt 4x4,truck
mazda,3i,unknown
jeep,commander sport,sport
ram,1500 slt,truck
ford,super duty f-450 drw,truck
chevrolet,express commercial cutaway,sport
,Isuzu NPR HD GAS REG,unknown
ford,econoline cargo van,unknown
chevrolet,4500 lcf gas,unknown
ford,super duty f-550 drw,unknown
ford,econoline commercial cutaway,unknown
gmc,savana commercial cutaway,unknown
chevrolet,3500 lcf gas,truck
,Hino 268,unknown
ford,super duty f-250,truck
,International TerraStar,unknown
chevrolet,cc4500,unknown
mitsubishi,fuso fh211,unknown
ford,transit cutaway,unknown
,Freightliner M2 106 Medium Duty,unknown
mitsubishi,fuso fe145,unknown
gmc,tc5500,unknown
ford,super duty f-350 srw,truck
,Blue Bird All American,unknown
ram,4500,unknown
ram,5500,unknown
,Isuzu NPR HD GAS CREW,unknown
,Isuzu NPR,unknown
ford,f-750,unknown
,Workhorse W42,unknown
ford,econoline,unknown
,he Macan,unknown
bmw,z4 sdrive35is roadster 2d,unknown
dodge,challenger,unknown
infiniti,qx70,unknown
lexus,gx,unknown
lincoln,mkc,unknown
mitsubishi,lancer,unknown
ram,1500 quad cab harvest pickup,truck
chevrolet,sonic lt,unknown
nissan,altima 2.5 s,sedan
chevrolet,impala lt,sedan
mini,cooper s,unknown
kia,optima ex,sedan
lexus,es 350,unknown
infiniti,qx50 sport utility 4d,SUV
ford,f650 6 door custom stretch,unknown
,HUMMER H2 Lifted 4x4,unknown
ford,f-250 super duty lariat cre,truck
ford,e-series cargo e350 super d,unknown
ford,f750 four car hauler rollba,unknown
ford,f-350 superduty dually 4x4,truck
ford,f550 super duty rollback/wr,unknown
ford,f-150 regular cab short bed,truck
infiniti,q70 3.7 sedan 4d,sedan
dodge,dakota regular cab long be,unknown
ford,transit connect wagon,unknown
buick,encore,unknown
ford,f150 xlt,truck
lexus,ls 460 sedan 4d,sedan
mitsubishi,outlander phev gt,sport
,des-Benz E-Class,unknown
cadillac,xt5 platinum sport,sport
honda,civic type r,sedan
lexus,rx 350 sport utility 4d,sport
cadillac,cts,unknown
lexus,is 250,unknown
lexus,gs400,unknown
honda,odyssey exl,sport
gmc,terrain slt,unknown
ford,fusion se,sedan
chevrolet,captiva,unknown
chrysler,300c,unknown
buick,enclave cxl,unknown
cadillac,sts v6,unknown
nissan,quest,unknown
chevrolet,silverado 1500 lt,truck
acura,mdx sh-awd w/technology,unknown
toyota,4runner 4wd,unknown
mercedes-benz,benz s550,unknown
nissan,frontier sv,unknown
honda,cr-v lx,SUV
mazda,cx-9 touring,unknown
jaguar,xjr s,unknown
chevrolet,cruze,unknown
kia,soul ! wagon 4d,unknown
acura,rdx sh-awd sport utility,sport
bmw,750li,unknown
,Kenworth T300,unknown
chevrolet,k5 blazer,unknown
alfa-romeo,romeo giulia sedan 4d,sedan
hyundai,sonata se sedan 4d,sedan
hyundai,kona,unknown
,CX-5,unknown
cadillac,escalade esv platinum,unknown
honda,cr-v,SUV
mercedes-benz,e-class e 300,sport
tesla,model s,unknown
cadillac,escalade esv,unknown
,Freightliner,unknown
nissan,rogue sl,unknown
nissan,skyline gts,sport
lexus,es350,unknown
,AutoCar flatbed truck,unknown
ford,e350 bus,unknown
hyundai,genesis,unknown
toyota,land cruiser prado,unknown
kia,soul +,unknown
mercedes-benz,560,unknown
bmw,5 series 535i sedan 4d,sedan
infiniti,q60 3.0t luxe coupe 2d,sport
ford,explorer,SUV
jaguar,xf 20d premium sedan 4d,sedan
lincoln,mkx reserve sport,sport
mitsubishi,outlander,unknown
chevrolet,silverado 2500 hd,truck
chrysler,pt cruiser gt,sport
jeep,wrangler unlimited x,SUV
mini,t camper van,unknown
saturn,sl,unknown
nissan,juke,unknown
chevrolet,silverado classic,truck
ford,coupe,sport
dodge,challenger srt8 coupe 2d,sport
chevrolet,corvette stingray,unknown
gmc,sierra 1500 crew cab sle,truck
ford,pick up,unknown
gmc,sonoma,unknown
ram,promaster city cargo van,unknown
volvo,s60 inscription platinum,unknown
dodge,dart,unknown
nissan,rogue,unknown
chevrolet,tahoe z71,SUV
gmc,yukon,SUV
chrysler,town and country tourin,unknown
toyota,land cruiser,unknown
,olet Express Commercial Cutaway,unknown
gmc,acadia,unknown
dodge,journey,unknown
,AM GENERAL HUMMER,unknown
subaru,crosstrek 2.0i premium,sport
bmw,3 series 340i sedan 4d,sedan
mercedes-benz,c-class c 63 amg,sport
mercury,capri,unknown
alfa-romeo,romeo spider,unknown
chevrolet,belair,unknown
jeep,wrangler sport,SUV
infiniti,qx 56,unknown
gmc,envoy,unknown
mazda,miata touring,unknown
mitsubishi,montero sport,sport
dodge,caliber mainstreet,unknown
toyota,sienna xle,unknown
,500,unknown
hyundai,santa fe sport,sport
mercedes-benz,e 400,unknown
,HINO,unknown
ford,f450 4x4,truck
,BMW528i,unknown
ram,,unknown
dodge,caravan,unknown
cadillac,srx luxury,unknown
chevrolet,camaro 2ss,sport
dodge,journey sxt,unknown
,Chevelet Venture,unknown
dodge,caliber,unknown
bmw,535i,unknown
ford,f150 super cab xlt pickup,truck
gmc,yukon slt sport utility 4d,SUV
gmc,acadia sle-1 sport utility,sport
ford,fiesta,unknown
lincoln,navigator,unknown
toyota,camry solara,sedan
,Gladiator,unknown
gmc,yukon slt,SUV
chevrolet,tahoe lt,SUV
chevrolet,caprice,unknown
mitsubishi,fuso fe180,unknown
chevrolet,equinox,SUV
,Sterling SC8000,unknown
,Isuzu NPR HD REG,unknown
mitsubishi,fuso fe,unknown
,International 4300,unknown
,Hino 195,unknown
,Isuzu DSL REG AT,unknown
honda,acty,unknown
,Freightliner M Line Walk-in Van,unknown
ford,super duty f-750 straight frame,truck
chevrolet,silverado 3500 classic,truck
,Freightliner M-Line Walk-in Van,unknown
ford,super duty f-350 drw,truck
ford,f-650 sd,unknown
ford,e-series cutaway,unknown
mitsubishi,fuso fe160,unknown
ford,f-100,unknown
mitsubishi,outlander phev sel,unknown
subaru,crosstrek,sport
cadillac,xt5 luxury sport,sport
,WILLYS MB,unknown
volvo,s80,unknown
,SPECIAL FINANCE PROGRAM 2021,unknown
lexus,ls 460 l sedan 4d,sedan
chevrolet,ssr,sport
acura,rdx,unknown
chevrolet,silverado 4x4,truck
jeep,,unknown
jeep,wrangler right hand drive,SUV
gmc,safari slt,unknown
,Chevrolet/Trailblazer,unknown
audi,a3,unknown
tesla,model 3,unknown
kia,sedona,unknown
ford,f-650,unknown
nissan,frontier s king cab,unknown
ford,f550 4x4,unknown
honda,civic,sedan
honda,civic exl,sedan
ford,f-150 supercab xlt,truck
volkswagen,jetta gli fahrenheit,sedan
chrysler,pacifica l,unknown
cadillac,escalade esv luxury,unknown
lexus,rx 300,unknown
chevrolet,malibu ls,sedan
mercedes-benz,e-class e 400,sport
ford,transit 250,unknown
chevrolet,corvair convertible,sport
honda,pilot,SUV
gmc,sierra 2500 hd denali 4x4,truck
gmc,yukon denali xl,SUV
acura,rdx sport utility 4d,sport
toyota,highlander limited awd,SUV
ford,f150 platinum 4x4,truck
ford,f150 xlt 4x4,truck
mercedes-benz,sl-class,sport
kia,soul wagon 4d,unknown
buick,park avenue,unknown
mercury,grand marquis,unknown
chevrolet,colorado crew cab lt,truck
audi,q5 prestige sport utility,sport
lincoln,mkx select sport utility,sport
nissan,murano sl,unknown
volvo,vnl 780,unknown
,freightliner fl60,unknown
bmw,5 series 530e xdrive,unknown
ford,fairlane ranchero,unknown
infiniti,q60 3.0t pure coupe 2d,sport
nissan,titan xd pro 4x,unknown
ford,taurus se,unknown
subaru,xv crosstrek,sport
volkswagen,passat,sedan
toyota,yaris,unknown
dodge,challenger r/t shaker,unknown
rover,evoque,unknown
ford,focus se hatchback 4d,unknown
,ierra 1500,unknown
infiniti,qx80,unknown
nissan,armada,unknown
dodge,charger sxt sedan 4d,sedan
ram,1500 big horn,truck
,olet Silverado 2500HD,unknown
bmw,3 series 330i xdrive sedan,sedan
,KW T800,unknown
mercedes-benz,c-class c 300,sport
,Freightliner Sprinter 3500,unknown
subaru,crosstrek 2.0i limited,sport
,"1999 ply,prowler",unknown
chevrolet,silverado 1500 lt crew cab long box 4wd,truck
toyota,prius prius v,unknown
ram,1500 sport crew cab lwb 4wd,truck
jeep,wrangler unlimited sport 4wd,SUV
ford,f-150 xl supercrew 6.5-ft. bed 4wd,truck
ford,f-150 xl supercrew 5.5-ft. bed 4wd,truck
chevrolet,silverado 1500 work truck 2wt crew cab long box 4w,truck
chevrolet,silverado 1500 ls crew cab long box 4wd,truck
cadillac,xts,unknown
lincoln,mkz reserve sedan 4d,sedan
lincoln,corsair reserve sport,sport
ford,f250 lariat 4x4,truck
jeep,patriot sport,sport
gmc,sierra 1500 slt 4x4,truck
rover,discovery sport,sport
bmw,640i coupe,sport
,Genesis G70 2.0T Sedan 4D,unknown
lexus,ls 430,unknown
honda,crv ex awd,unknown
audi,a4 2.0t premium plus,unknown
pontiac,firebird trans am,unknown
chevrolet,camaro ss,sport
honda,civic sedan,sedan
toyota,4runner sr5,unknown
ford,f150 super cab lariat,truck
ford,e250,unknown
lincoln,mkx,unknown
nissan,pathfinder sv,unknown
,STERLING L,unknown
,INTERNATIONAL 4700,unknown
ford,f150 fx4 4x4,truck
gmc,sierra 1500 slt z60,truck
buick,enclave premium,unknown
jeep,grand cherokee summit,SUV
lexus,es 300h,unknown
chevrolet,silverado 3500 hd 4x4,truck
toyota,4runner trd pro 4x4,unknown
jeep,renegade,unknown
toyota,tacoma 4wd,truck
,NOVA WAGON,unknown
bmw,430 gran coupe,sport
chevrolet,avalance,unknown
audi,s7 sedan 4d,sedan
infiniti,q70 3.7 luxe sedan 4d,sedan
infiniti,qx50 luxe sport utility,SUV
lexus,rc,unknown
lexus,ct 200h f-sport,sport
cadillac,xt5 sport suv 4d,SUV
audi,a3 tdi premium,unknown
ford,excursion,unknown
,Hummer H2,unknown
audi,a5,unknown
bmw,318ic cabrio,unknown
saturn,aura,unknown
acura,mdx advance pkg sport,sport
buick,lucerne,unknown
acura,mdx sh-awd w/advance pkg,unknown
acura,mdx technology pkg sport,sport
volkswagen,passat wolfsburg,sedan
dodge,grand caravan handicap wheelchair rear entry,unknown
,"GMC, Ford, Freightliner & More",unknown
lexus,es,unknown
acura,mdx advance and,unknown
gmc,sierra denali,truck
chevrolet,p30 step van,unknown
chevrolet,c-10 truck,truck
nissan,300zx turbo,unknown
toyota,sienna,unknown
mercedes-benz,c230 kompressor,sport
bmw,3 series,unknown
kia,soul s wagon 4d,unknown
,a RAV4,unknown
acura,rdx advance pkg sport,sport
cadillac,escalade esv premium,unknown
mercedes-benz,metris passenger,sport
toyota,hilux,unknown
infiniti,g37 sedan,sedan
lincoln,navigator l select sport,sport
mercedes-benz,e-class e 450,sport
subaru,outback,SUV
,Bentley Continental GT,unknown
ram,1500 slt 4wd pickup truck,truck
ram,1500 classic slt 4wd,truck
,Chevelot,unknown
ford,edge st line,unknown
lexus,rx 450h,unknown
gmc,suburban k1500 4x4,truck
ford,f150 lariat 4wd,truck
jeep,grand cherokee trailhawk,SUV
ford,f150 xlt 4wd,truck
honda,crv touring suv,SUV
ram,1500 classic slt,truck
dodge,avenger r/t,unknown
acura,ilx premium pkg sedan 4d,sedan
,all,unknown
bmw,7 series,unknown
mazda,2,unknown
hyundai,tucson,unknown
dodge,challenger r/t coupe 2d,sport
ford,ecosport titanium suv,SUV
cadillac,deville,unknown
chevrolet,equinox ls suv,SUV
,1999 Corvette,unknown
chevrolet,traverse l t,unknown
ford,f150 4x4 lariat,truck
mini,cooper countryman s,unknown
mini,cooper hardtop s,unknown
ford,expedition limited,unknown
ford,escape se,SUV
toyota,camry se,sedan
honda,accord sport,sedan
ram,2500 laramie,truck
lincoln,ls,unknown
ford,explorer limited,SUV
hyundai,ioniq hybrid sel,unknown
ford,escape sel suv,SUV
ram,1500 crew cab slt pickup 4d,truck
,volkwagen beetle convertible,unknown
volvo,v70 wagon,unknown
nissan,rogue s suv,SUV
chevrolet,astro van,unknown
ford,f150 lariat,truck
ford,f150 xlt 4wd f-150 4x4,truck
ford,explorer limited suv,SUV
chevrolet,blazer lt,unknown
,maserati spyder,unknown
ford,f150 4x4 lariat 4wd f-150,truck
ford,expedition xlt suv,SUV
gmc,sierra 1500 extended cab sle,truck
ford,edge sel suv,SUV
chevrolet,equinox lt,SUV
toyota,tundra crewmax,truck
ford,f150 stx,truck
ram,1500 big horn 4wd,truck
ford,expedition xlt,unknown
mercedes-benz,benz glk 350,unknown
kia,soul lx wagon 4d,unknown
acura,ilx 2.0l sedan 4d,sedan
ford,f150 stx 4wd,truck
gmc,acadia sle,unknown
,maserati quattroporte,unknown
volvo,s60 t5 premier plus sedan,sedan
ford,fusion hybrid se,sedan
ford,super duty f250 srw xl,truck
toyota,camry solara convertible,sedan
hyundai,veloster hatchback,unknown
,INTERNATIONAL 4300 BUCKET TRUCK,unknown
ford,f150 lariat 4wd f-150,truck
ford,f-150 lariat,truck
cadillac,dts,unknown
ford,five hundred,unknown
jeep,grand cherokee limited,SUV
ford,f-150 lariat 4wd,truck
ford,fusion se sedan,sedan
nissan,altima 2.5 sr sedan,sedan
ford,ecosport titanium,sport
toyota,tacoma access cab sr,truck
ford,escape sel,SUV
ford,explorer hybrid limited,SUV
lincoln,mkz hybrid select,unknown
jeep,wrangler sahara (jk) sport,SUV
,suzuki reno,unknown
chevrolet,silverado 1500 lt 4x4,truck
buick,rainier awd,unknown
hyundai,genesis coupe 2.0t,sport
ford,escape s,SUV
ford,f-150 platinum,truck
ford,expedition max xlt,unknown
mitsubishi,outlander se sport,sport
kia,soul + wagon 4d,unknown
gmc,sierra 3500hd denali,truck
volvo,s60 t5 sedan 4d,sedan
,Other,unknown
,suzuki forenza,unknown
kia,spectra,unknown
ford,expedition,unknown
chrysler,town and country,unknown
pontiac,montana,unknown
chevrolet,c10,unknown
dodge,avenger,unknown
dodge,challenger sxt,unknown
honda,accord sedan lx,sedan
honda,accord touring 2.0t,sedan
toyota,tacoma access cab sr5,truck
toyota,highlander xle,SUV
chevrolet,aero 2 door sedan,sedan
ford,focus se,unknown
chevrolet,express 2500,truck
mitsubishi,outlander gt sport,sport
ford,f-150 limited,truck
